Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;2;second_return;Forehand;Flat;50,331963;62;10;2;short;deuce;near;0,50863;6,945873;out;ad;far;1,786133;25,177341;1,248047;inside in;In;false;07:52:29;2245,169922
Rikard Rykkvin;1;first_serve;Serve;Flat;102,471764;63;11;2;deep;deuce_alley;far;-4,263854;19,973007;deep;deuce;near;1,039062;0,518099;2,326172;out wide;Out;false;07:53:43;2319,310059
Rasmus Kopperud Riis;1;none;Forehand;Topspin;71,24691;63;11;2;short;ad;near;-1,836199;6,556663;out;deuce_alley;far;-5,277344;25,052341;1,103516;down the line;In;false;07:53:44;2320,409912
Rikard Rykkvin;1;second_serve;Serve;Flat;97,00489;63;11;2;short;deuce;far;-1,781571;16,873915;deep;deuce;near;1,341797;-0,149144;2,425781;down the T;In;false;07:54:01;2336,909912
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;74,508362;63;11;2;deep;deuce;near;1,071445;3,495857;out;deuce;far;-3,486328;24,646091;1,183594;cross court;In;false;07:54:02;2338,27002
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;78,002838;63;11;2;deep;ad;far;2,950917;20,752043;out;deuce;near;1,453125;-0,144092;0,970703;down the line;In;false;07:54:03;2339,610107
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Flat;56,692394;63;11;2;short;deuce;far;-0,502441;12,28125;out;ad;far;2,359375;24,646091;0,88623;down the line;Net;false;07:54:05;2341,169922
Rikard Rykkvin;1;first_serve;Serve;Flat;121,712608;64;11;2;short;ad;far;3,218693;16,402409;deep;ad;near;-0,375;0,409987;2,160156;out wide;In;false;07:54:15;2351,23999
Rasmus Kopperud Riis;2;first_return;Backhand;Flat;56,39732;64;11;2;deep;ad;near;-0,580932;4,149777;deep;ad;far;3,867188;24,036716;1,5;cross court;In;false;07:54:16;2352,169922
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;88,79203;64;11;2;deep;ad;far;1,82556;19,393658;out;ad;near;-1,569336;-1,85503;1,224609;inside out;In;false;07:54:18;2354,52002
