Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;2;first_return;Forehand;Topspin;81,209824;48;8;1;short;deuce;near;1,319153;6,510705;out;deuce;far;-3,341797;25,317966;1,078125;cross court;In;false;07:46:02;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;85,123375;48;8;1;deep;deuce;far;-0,608368;23,661863;out;deuce;near;2,421875;-0,581592;0,753906;cross court;In;false;07:46:03;
Rikard Rykkvin;4;return_plus_one;Forehand;Topspin;62,508747;48;8;1;short;deuce;near;1,795562;6,723135;out;deuce;far;-0,602051;25,552341;1,105469;cross court;In;false;07:46:05;
Rasmus Kopperud Riis;5;in_play;Forehand;Topspin;90,441895;48;8;1;deep;deuce;far;-2,363541;20,069212;out;deuce;near;2,496094;-0,909717;0,983398;cross court;In;false;07:46:07;
Rikard Rykkvin;6;in_play;Forehand;Topspin;83,490692;48;8;1;deep;deuce;near;0,199634;5,458674;out;deuce;far;-3,615234;27,255466;0,983398;cross court;In;false;07:46:08;
Rasmus Kopperud Riis;7;in_play;Forehand;Topspin;86,454002;48;8;1;deep;deuce;far;-3,392057;23,7397;deep;deuce;near;1,316406;0,043408;1,017578;cross court;In;false;07:46:10;
Rikard Rykkvin;8;in_play;Forehand;Flat;52,032112;48;8;1;short;ad;far;0,422029;16,171875;out;deuce;far;-3,308594;26,474216;0,612793;down the line;Net;false;07:46:11;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;118,278214;49;8;1;deep;ad;far;1,247058;22,343523;deep;ad;near;0,281982;1,129345;2,414062;down the T;Out;false;07:46:26;
Rikard Rykkvin;1;none;Forehand;Slice;57,191639;49;8;1;deep;ad_alley;near;-5,408733;5,477971;deep;ad;far;1,267578;24,083591;1,053711;inside in;Out;false;07:46:27;
Rasmus Kopperud Riis;1;second_serve;Serve;Slice;98,746758;49;8;1;short;ad;far;1,865124;16,361856;deep;ad;near;-0,083618;0,629345;2,322266;down the T;In;false;07:46:33;
Rikard Rykkvin;2;second_return;Forehand;Topspin;103,530151;49;8;1;deep;ad;near;-2,272989;3,333851;deep;ad;far;2,6875;23,771091;1,0625;inside out;In;false;07:46:34;
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Topspin;42,551563;49;8;1;short;ad;near;-1,34375;9,25;out;ad;near;-3,140625;-0,144092;1,016602;cross court;Net;false;07:46:35;
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;122,541107;50;8;1;short;deuce;far;-2,143854;17,762157;deep;deuce;near;0,714844;0,393609;2,357422;down the T;In;false;07:46:54;
Rikard Rykkvin;2;first_return;Forehand;Topspin;65,249763;50;8;1;deep;deuce;near;3,2407;4,005853;out;deuce;far;-3,787109;25,271091;0,966309;cross court;In;false;07:46:55;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Flat;91,59964;50;8;1;short;ad;far;1,757218;17,613428;out;deuce;near;3,621094;-0,190967;1,615234;down the line;In;false;07:46:57;
Rikard Rykkvin;4;return_plus_one;Backhand;Flat;78,960381;50;8;1;deep;ad;near;-1,270038;3,665815;out;ad;far;0,781738;24,489841;0,958984;cross court;In;false;07:46:59;
Rasmus Kopperud Riis;5;in_play;Backhand;Topspin;86,656357;50;8;1;deep;deuce;far;-1,457517;22,728008;out;ad;near;-1,611328;-0,776905;1,167969;down the line;In;false;07:47:00;
Rikard Rykkvin;6;in_play;Forehand;Flat;59,150162;50;8;1;short;deuce;near;2,13996;8,135437;deep;deuce;far;-0,927734;24,239841;0,819824;cross court;In;false;07:47:01;
Rasmus Kopperud Riis;7;in_play;Forehand;Flat;81,873123;50;8;1;deep;deuce;far;-0,55536;20,579956;out;deuce;near;3,246094;-0,425342;0,42627;cross court;In;false;07:47:03;
Rikard Rykkvin;8;in_play;Forehand;Flat;101,257637;50;8;1;deep;deuce;near;2,810547;2,210938;deep;deuce;far;-0,783203;24,302341;0,818359;cross court;In;false;07:47:04;
Rasmus Kopperud Riis;9;in_play;Forehand;Slice;56,159847;50;8;1;deep;ad;far;1,023438;20,8125;deep;deuce;near;2,896484;0,473095;0,77002;down the line;In;false;07:47:05;
Rikard Rykkvin;10;in_play;Volley;Flat;39,064728;50;8;1;short;ad;far;1,260742;11,976562;deep;ad;far;1,023438;21,458591;1,830078;cross court;Net;false;07:47:07;
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;105,183304;51;8;1;deep;deuce;far;-0,977051;18,84375;deep;ad;near;-0,57666;0,980908;2,349609;down the T;Out;false;07:47:29;
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;98,982292;51;8;1;short;ad;far;3,815177;16,672468;deep;ad;near;-0,096802;0,341897;2,359375;out wide;In;false;07:47:36;
Rikard Rykkvin;2;second_return;Backhand;Slice;60,054684;51;8;1;deep;ad;near;-3,694337;5,025864;out;ad_alley;far;4,875;25,880466;0,999023;down the line;In;false;07:47:37;
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Flat;63,724472;51;8;1;deep;ad_alley;far;4,644531;23,737749;deep;ad;near;-3,392578;2,449658;0,974609;down the line;Out;false;07:47:39;
Rikard Rykkvin;0;none;Feed;Flat;27,874657;52;8;1;deep;ad;near;-1,3329;4,358414;deep;deuce;far;-1,019531;24,005466;0,416992;---;In;false;07:47:44;
